dates,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
1999-11-01,38.69,38.75,37.81,38.56,28.5877121372,216400,0.0,1.0
1999-11-02,38.31,38.63,38.0,38.56,28.5877121372,121800,0.0,1.0
1999-11-03,38.56,39.13,38.0,39.06,28.9584034253,104600,0.0,1.0
1999-11-04,38.81,39.25,38.13,38.63,28.6396089175,84000,0.0,1.0
1999-11-05,39.25,40.75,38.94,40.0,29.6553030469,136900,0.0,1.0
1999-11-08,40.06,41.88,40.06,41.44,30.7228939566,189300,0.0,1.0
1999-11-09,41.69,42.0,39.69,40.0,29.6553030469,213100,0.0,1.0
1999-11-10,40.06,40.63,39.63,40.13,29.7516827818,107200,0.0,1.0
1999-11-11,39.88,40.38,38.25,38.81,28.7730577812,170100,0.0,1.0
1999-11-12,39.56,40.56,39.44,39.88,29.5663371377,148500,0.0,1.0
1999-11-15,39.88,41.0,39.81,40.75,30.211339979,152800,0.0,1.0
1999-11-16,40.5,41.75,40.44,41.38,30.678411002,83100,0.0,1.0
1999-11-17,41.13,41.13,39.13,39.38,29.1956458496,292500,0.0,1.0
1999-11-18,40.31,40.5,39.81,40.0,29.6553030469,259500,0.0,1.0
1999-11-19,40.0,40.0,39.13,39.63,29.3809914937,110200,0.0,1.0
1999-11-22,39.63,39.63,37.13,37.31,27.660983917,283600,0.0,1.0
1999-11-23,37.31,39.94,36.75,39.25,29.0992661147,281300,0.0,1.0
1999-11-24,39.81,40.25,38.63,38.69,28.6840918721,183900,0.0,1.0
1999-11-26,38.44,39.75,38.44,39.13,29.0103002056,74900,0.0,1.0
1999-11-29,38.25,38.69,37.13,37.38,27.8092604322,169900,0.13,1.0
1999-11-30,37.38,38.75,37.25,37.94,28.225878566,273200,0.0,1.0
1999-12-01,37.81,37.81,36.88,37.0,27.52655527,296500,0.0,1.0
1999-12-02,37.25,38.56,37.25,37.63,27.9952506705,134200,0.0,1.0
1999-12-03,37.88,38.44,37.0,37.94,28.225878566,196200,0.0,1.0
1999-12-06,37.94,38.0,37.25,37.38,27.8092604322,236000,0.0,1.0
1999-12-07,37.31,37.81,37.31,37.56,27.9431734038,109000,0.0,1.0
1999-12-08,37.31,37.5,36.0,36.0,26.7825943167,203700,0.0,1.0
1999-12-09,36.19,36.44,35.38,36.0,26.7825943167,166900,0.0,1.0
1999-12-10,36.06,36.5,35.38,36.0,26.7825943167,162700,0.0,1.0
1999-12-13,36.0,37.38,35.94,37.19,27.6679078511,213500,0.0,1.0
1999-12-14,37.0,37.69,36.69,37.25,27.7125455083,157600,0.0,1.0
1999-12-15,37.13,38.19,37.13,38.06,28.3151538804,247100,0.0,1.0
1999-12-16,37.81,38.5,37.81,38.06,28.3151538804,761300,0.0,1.0
1999-12-17,38.0,38.56,37.94,38.56,28.687134357,237400,0.0,1.0
1999-12-20,38.81,39.5,38.19,39.06,29.0591148337,378300,0.0,1.0
1999-12-21,39.0,42.25,38.88,40.56,30.1750562635,659200,0.0,1.0
1999-12-22,40.63,41.63,39.94,41.0,30.5023990829,307300,0.0,1.0
1999-12-23,40.75,41.44,40.5,41.31,30.7330269784,152200,0.0,1.0
1999-12-27,40.75,40.88,39.5,40.5,30.1304186063,284800,0.0,1.0
1999-12-28,40.5,41.75,40.31,41.5,30.8743795596,163100,0.0,1.0
1999-12-29,41.31,42.19,40.94,41.25,30.6883893213,208800,0.0,1.0
1999-12-30,41.5,42.63,41.5,41.5,30.8743795596,110200,0.0,1.0
1999-12-31,40.5,41.31,40.5,41.0,30.5023990829,102600,0.0,1.0
2000-01-03,41.12,41.31,40.25,40.5,30.1304186063,147600,0.0,1.0
2000-01-04,40.25,40.5,39.25,39.94,29.7138004725,145100,0.0,1.0
2000-01-05,40.13,42.31,40.13,42.31,31.4769879317,429900,0.0,1.0
2000-01-06,42.06,45.38,41.63,45.13,33.5749578198,481300,0.0,1.0
2000-01-07,44.88,48.38,44.44,47.0,34.9661648024,464500,0.0,1.0
2000-01-10,47.5,48.06,46.19,46.31,34.4528317447,238800,0.0,1.0
2000-01-11,46.56,47.38,45.25,45.88,34.1329285348,188100,0.0,1.0
2000-01-12,45.88,47.75,45.88,47.44,35.2935076218,337100,0.0,1.0
2000-01-13,47.75,49.63,47.75,49.38,36.7367918711,363300,0.0,1.0
2000-01-14,49.44,50.0,46.5,47.19,35.1075173835,172100,0.0,1.0
2000-01-18,47.06,47.94,45.75,46.69,34.7355369069,194200,0.0,1.0
2000-01-19,46.94,47.19,45.81,46.38,34.5049090114,117800,0.0,1.0
2000-01-20,46.38,46.38,44.06,44.25,32.920272181,174600,0.0,1.0
2000-01-21,44.63,44.94,43.63,43.88,32.6450066283,74500,0.0,1.0
2000-01-24,44.25,44.94,43.25,44.88,33.3889675815,125700,0.0,1.0
2000-01-25,43.75,44.31,42.63,42.94,31.9456833322,128600,0.0,1.0
2000-01-26,43.19,44.56,42.38,43.25,32.1763112277,265600,0.0,1.0
2000-01-27,43.31,44.06,42.31,43.75,32.5482917044,189100,0.0,1.0
2000-01-28,43.81,44.69,42.75,44.0,32.7342819427,261000,0.0,1.0
2000-01-31,43.88,43.88,41.69,42.0,31.2463600362,153800,0.0,1.0
2000-02-01,42.13,42.63,41.81,42.13,31.3430749601,190500,0.0,1.0
2000-02-02,42.31,43.5,42.31,43.38,32.2730261517,191600,0.0,1.0
2000-02-03,43.38,44.5,43.13,44.38,33.0169871049,191100,0.0,1.0
2000-02-04,44.19,44.75,43.0,43.81,32.5929293616,168800,0.0,1.0
2000-02-07,43.56,43.75,43.0,43.38,32.2730261517,70900,0.0,1.0
2000-02-08,43.56,43.75,42.0,42.0,31.2463600362,134900,0.0,1.0
2000-02-09,42.5,42.5,40.88,41.0,30.5023990829,120000,0.0,1.0
2000-02-10,41.0,41.0,39.5,40.0,29.7584381297,159300,0.0,1.0
2000-02-11,40.13,40.38,39.38,39.63,29.483172577,97000,0.0,1.0
2000-02-14,39.38,39.56,38.31,39.0,29.0144771765,141400,0.0,1.0
2000-02-15,39.13,40.25,38.69,39.5,29.3864576531,175400,0.0,1.0
2000-02-16,39.75,40.63,39.31,39.5,29.3864576531,121200,0.0,1.0
2000-02-17,39.38,40.0,39.13,39.81,29.6170855486,138700,0.0,1.0
2000-02-18,39.56,39.75,38.38,38.63,28.7392116238,102800,0.0,1.0
